ad_id,city_id,category_id,market,date_posted,date_expired,price_per_sqm,price,rooms_num
62781669,26,101,secondary,2/17/2022,3/22/2022,13570,520000,2
62812623,26,101,secondary,2/24/2022,3/11/2022,10490,750000,3
62734992,1004,101,primary,2/4/2022,2/22/2022,7500,435000,3
62866302,1004,101,primary,3/11/2022,3/16/2022,9126,270500,1
62865798,26,101,secondary,3/11/2022,3/31/2022,16786,799000,2
62904560,26,101,primary,3/22/2022,4/21/2022,10306,1000000,4
62869557,26,101,primary,3/12/2022,4/11/2022,17575,587000,1
62931160,1004,101,secondary,3/29/2022,4/4/2022,8943,389000,2
62877800,26,101,secondary,3/15/2022,4/25/2022,10433,699000,2
62825408,26,101,secondary,2/28/2022,3/30/2022,32857,2300000,3
62901793,1004,101,secondary,3/21/2022,5/20/2022,270,20000,2
62750151,26,101,secondary,2/9/2022,3/10/2022,21260,2700000,4
62869823,26,101,secondary,3/12/2022,5/20/2022,12492,415000,2
62883797,26,101,primary,3/16/2022,6/14/2022,15839,628636,2
62903762,26,101,primary,3/22/2022,6/20/2022,12237,600000,2
62730080,26,101,secondary,2/3/2022,3/5/2022,13690,575000,2
62893934,1004,101,primary,3/18/2022,6/16/2022,6600,107184,1
62773520,26,101,secondary,2/15/2022,4/12/2022,9212,479000,2
62924312,26,101,secondary,3/28/2022,4/8/2022,19808,515000,1
62767238,26,101,secondary,2/13/2022,3/15/2022,10417,500000,2
62915841,26,101,primary,3/25/2022,4/4/2022,12969,415000,2
62798997,26,101,secondary,2/21/2022,2/22/2022,8675,360000,2
62911430,26,101,primary,3/23/2022,6/21/2022,10525,710962,4
62741636,1004,101,secondary,2/7/2022,3/22/2022,6582,249000,2
62923946,26,101,secondary,3/28/2022,4/27/2022,13338,573000,2
62729635,1004,101,secondary,2/3/2022,2/7/2022,7083,255000,2
62820276,26,101,secondary,2/27/2022,3/29/2022,11062,719000,3
62799574,26,101,secondary,2/21/2022,2/22/2022,7153,515000,4
62906751,26,101,secondary,3/22/2022,5/21/2022,12333,740000,3
62721816,26,101,secondary,2/1/2022,5/6/2022,16708,680000,2
62811778,26,101,secondary,2/24/2022,3/24/2022,10459,1070000,3
62926622,26,101,primary,3/28/2022,6/26/2022,23000,1162880,2
62896037,1004,101,primary,3/19/2022,4/27/2022,7000,292600,3
62931666,26,101,secondary,3/29/2022,5/24/2022,12985,759000,4
62845012,1004,101,primary,3/5/2022,3/5/2022,8400,492156,4
61666679,26,101,primary,3/25/2021,6/29/2022,8800,550264,3
62751432,26,101,primary,2/9/2022,6/9/2022,13940,800000,3
62785303,26,101,secondary,2/17/2022,4/11/2022,9531,1200000,4
62757461,26,101,secondary,2/10/2022,3/22/2022,17861,830000,2
62911129,26,101,primary,3/23/2022,3/30/2022,17715,1654045,4
62789416,26,101,primary,2/18/2022,6/18/2022,22040,1400000,3
62763204,26,101,secondary,2/11/2022,4/30/2022,7920,689000,4
62934895,26,101,secondary,3/30/2022,4/29/2022,19587,739000,2
62894107,26,101,primary,3/18/2022,6/16/2022,11073,752600,3
62788624,26,101,primary,2/18/2022,3/17/2022,16500,1436325,3
62805568,26,101,secondary,2/22/2022,3/24/2022,9894,465000,3
62756742,26,101,primary,2/10/2022,4/11/2022,14510,1000000,4
62800615,26,101,secondary,2/21/2022,3/23/2022,11745,599000,3
61624948,1004,101,secondary,3/15/2021,2/1/2022,3577,279000,3
62791355,26,101,secondary,2/18/2022,3/20/2022,13996,746000,2
62901820,26,101,primary,3/21/2022,5/21/2022,11095,699000,3
62750701,26,101,primary,2/9/2022,3/11/2022,11933,500000,2
62854645,26,101,primary,3/8/2022,7/6/2022,10200,854760,4
62800155,26,101,secondary,2/21/2022,2/22/2022,8493,310000,1
62776195,26,101,primary,2/15/2022,6/15/2022,15169,800000,3
62746660,26,101,secondary,2/8/2022,5/6/2022,14048,590000,2
62836913,26,101,secondary,3/3/2022,3/23/2022,11458,550000,2
62761609,26,101,primary,2/11/2022,2/14/2022,12325,394400,2
62743845,26,101,secondary,2/7/2022,3/9/2022,13838,649000,3
62880235,26,101,secondary,3/15/2022,4/14/2022,13900,669980,3
62750690,26,101,primary,2/9/2022,6/9/2022,10661,900000,4
62872267,26,101,secondary,3/13/2022,4/14/2022,10436,455000,2
62877598,26,101,primary,3/15/2022,4/14/2022,12647,653084,2
62921012,26,101,secondary,3/26/2022,5/14/2022,12052,599000,2
62751910,26,101,secondary,2/9/2022,2/23/2022,8627,440000,2
62892617,26,101,secondary,3/18/2022,4/17/2022,12505,572000,2
62724126,26,101,secondary,2/1/2022,6/7/2022,12562,559000,2
62748658,26,101,secondary,2/8/2022,3/10/2022,18026,840000,2
62803372,1004,101,primary,2/22/2022,6/22/2022,8019,500000,3
62901235,26,101,primary,3/21/2022,4/20/2022,8851,316788,1
62906555,26,101,primary,3/22/2022,5/21/2022,12945,741373,3
62741481,26,101,secondary,2/7/2022,5/11/2022,10833,520000,3
62770000,26,101,secondary,2/14/2022,5/5/2022,12583,475000,1
62823960,26,101,primary,2/28/2022,3/30/2022,9756,800000,4
62753225,26,101,secondary,2/9/2022,3/17/2022,14762,310000,1
62812781,1004,101,secondary,2/24/2022,3/29/2022,9630,260000,1
62896070,26,101,primary,3/19/2022,4/18/2022,19263,716000,2
62908161,1004,101,primary,3/23/2022,4/6/2022,7808,400722,3
62921800,1004,101,primary,3/27/2022,5/26/2022,10963,410000,1
62810566,26,101,secondary,2/23/2022,4/21/2022,11163,480000,2
62798257,26,101,secondary,2/21/2022,3/14/2022,13520,535000,2
62722652,26,101,primary,2/1/2022,7/7/2022,14900,1828379,4
62799961,26,101,secondary,2/21/2022,2/22/2022,7833,470000,2
62919110,26,101,secondary,3/25/2022,5/4/2022,11556,520000,2
62799859,26,101,secondary,2/21/2022,2/22/2022,7917,380000,2
62861741,26,101,secondary,3/10/2022,6/8/2022,11835,1290000,4
62821518,26,101,secondary,2/27/2022,5/29/2022,17877,1949000,5
62830063,1004,101,primary,3/1/2022,3/29/2022,7498,478875,4
62901797,1004,101,secondary,3/21/2022,3/21/2022,864,37000,2
62751480,26,101,primary,2/9/2022,6/9/2022,14734,1000000,3
62913118,26,101,primary,3/24/2022,6/22/2022,21216,600000,1
62826442,26,101,primary,3/1/2022,6/29/2022,25659,798000,1
62890788,26,101,secondary,3/18/2022,4/17/2022,15949,622000,2
62760536,26,101,secondary,2/11/2022,5/18/2022,14216,1450000,4
62836540,1004,101,secondary,3/3/2022,4/2/2022,5789,330000,3
62788993,26,101,primary,2/18/2022,3/20/2022,8678,651002,4
62730823,26,101,secondary,2/3/2022,3/4/2022,12632,480000,2
62812709,26,101,primary,2/24/2022,3/28/2022,13130,699304,3
62915020,26,101,primary,3/24/2022,4/27/2022,12685,1192380,4
62888109,1004,101,secondary,3/17/2022,4/16/2022,7790,373900,3
62824970,1004,101,primary,2/28/2022,3/30/2022,8100,293787,2
62791265,26,101,secondary,2/18/2022,3/4/2022,10960,685000,3
62833326,26,101,secondary,3/2/2022,4/5/2022,18286,512000,1
62763842,26,101,secondary,2/12/2022,3/4/2022,15285,1320000,3
62848879,26,101,primary,3/7/2022,7/5/2022,10175,600000,3
62856347,1004,101,primary,3/9/2022,7/7/2022,10000,317000,1
62884368,26,101,primary,3/16/2022,4/30/2022,9534,778261,4
62774743,1004,101,secondary,2/15/2022,5/16/2022,6537,339900,3
62779568,26,101,primary,2/16/2022,6/16/2022,14073,700000,2
61512611,26,101,secondary,2/15/2021,6/23/2022,11545,650000,2
62884385,26,101,primary,3/16/2022,4/15/2022,11900,655000,3
62732889,26,101,secondary,2/3/2022,3/22/2022,11915,560000,3
62890158,26,101,secondary,3/17/2022,3/19/2022,16639,599000,3
62893143,26,101,secondary,3/18/2022,4/11/2022,17451,890000,3
62799980,26,101,secondary,2/21/2022,2/22/2022,8438,405000,2
62935337,26,101,primary,3/30/2022,4/21/2022,10900,568435,2
62891253,26,101,secondary,3/18/2022,6/16/2022,10889,539000,2
62932513,26,101,secondary,3/30/2022,4/5/2022,12956,1020000,3
62799986,26,101,secondary,2/21/2022,2/22/2022,9200,690000,3
62916237,1004,101,secondary,3/25/2022,4/25/2022,6589,425000,3
62829485,26,101,primary,3/1/2022,3/31/2022,13500,555120,2
62789434,26,101,primary,2/18/2022,6/18/2022,24922,1600000,3
62915225,26,101,secondary,3/24/2022,4/23/2022,9500,798000,4
62810673,26,101,secondary,2/24/2022,3/7/2022,18519,750000,2
62720599,26,101,primary,2/1/2022,3/3/2022,15293,1468100,4
61595110,26,101,primary,3/8/2021,4/4/2022,9850,432317,2
62805689,26,101,secondary,2/22/2022,5/25/2022,15230,929000,3
62743345,26,101,secondary,2/7/2022,2/22/2022,9263,440000,3
62919955,1004,101,secondary,3/26/2022,4/25/2022,9449,599999,3
62910414,26,101,secondary,3/23/2022,4/22/2022,14493,799000,3
62871767,26,101,secondary,3/13/2022,4/11/2022,13235,450000,2
62857704,26,101,secondary,3/9/2022,4/8/2022,13729,659000,2
62864475,26,101,secondary,3/10/2022,4/24/2022,11311,509000,2
62811377,26,101,secondary,2/24/2022,5/12/2022,13147,760000,2
62849343,26,101,secondary,3/7/2022,4/4/2022,16901,1200000,4
62872499,26,101,primary,3/13/2022,4/12/2022,13108,434000,2
62870301,1004,101,secondary,3/12/2022,6/10/2022,5939,285000,3
62805040,26,101,secondary,2/22/2022,4/8/2022,13283,797000,3
62904040,26,101,primary,3/22/2022,6/20/2022,19846,800000,2
62799929,26,101,secondary,2/21/2022,4/28/2022,8557,599000,3
62770466,26,101,secondary,2/14/2022,3/30/2022,9990,748750,3
62843200,26,101,secondary,3/4/2022,4/3/2022,11981,629000,3
62905456,26,101,secondary,3/22/2022,4/20/2022,16750,1340000,3
62776157,26,101,primary,2/15/2022,4/16/2022,13966,700000,2
62745974,1004,101,secondary,2/8/2022,5/9/2022,7600,380000,3
62818867,26,101,secondary,2/26/2022,3/14/2022,9105,519000,3
62831308,26,101,secondary,3/2/2022,3/29/2022,13780,565000,2
62876077,26,101,primary,3/14/2022,4/13/2022,8639,719149,4
62751390,26,101,primary,2/9/2022,6/9/2022,13182,500000,2
62827227,26,101,primary,3/1/2022,3/31/2022,8646,600000,3
62778558,26,101,primary,2/16/2022,3/18/2022,8786,549995,3
62796461,26,101,secondary,2/21/2022,3/15/2022,11687,485000,2
62900738,26,101,primary,3/21/2022,4/20/2022,12669,753562,3
62757642,26,101,secondary,2/10/2022,5/19/2022,9229,539000,2
62724095,26,101,secondary,2/1/2022,3/10/2022,13000,471380,1
62894198,26,101,secondary,3/18/2022,4/20/2022,12703,766000,3
62798405,1004,101,secondary,2/21/2022,3/22/2022,9900,363132,1
62877652,1004,101,secondary,3/15/2022,4/14/2022,8689,599000,3
62904385,26,101,primary,3/22/2022,6/20/2022,12965,1000000,4
62761875,26,101,secondary,2/11/2022,3/4/2022,10934,398000,1
62903874,26,101,primary,3/22/2022,6/20/2022,11690,700000,3
62864345,26,101,secondary,3/10/2022,4/9/2022,12821,500000,2
62733225,26,101,primary,2/3/2022,2/10/2022,12340,489660,2
62795924,26,101,secondary,2/21/2022,3/23/2022,10868,739000,3
62851010,26,101,secondary,3/7/2022,6/5/2022,13036,389000,2
62767408,1004,101,secondary,2/14/2022,3/29/2022,6763,318000,2
62894082,26,101,primary,3/18/2022,4/9/2022,8938,507481,3
62865689,26,101,primary,3/11/2022,6/9/2022,12920,501167,2
62848095,26,101,primary,3/7/2022,5/6/2022,15760,600000,2
61603892,1004,101,primary,3/10/2021,3/2/2022,8900,400589,2
62726152,26,101,primary,2/2/2022,3/2/2022,12887,699000,2
62795120,1004,101,secondary,2/21/2022,4/22/2022,6892,255000,2
62774140,26,101,secondary,2/15/2022,5/16/2022,15756,787000,2
62741790,26,101,primary,2/7/2022,5/7/2022,10100,611959,3
62914739,26,101,secondary,3/24/2022,4/13/2022,14173,663000,3
62892400,1004,101,secondary,3/18/2022,4/17/2022,8679,385000,2
62745506,1004,101,secondary,2/7/2022,2/21/2022,8385,539000,3
62919144,26,101,secondary,3/25/2022,4/25/2022,8125,520000,3
62835506,26,101,primary,3/3/2022,7/1/2022,11945,700000,3
62851757,1004,101,secondary,3/7/2022,4/6/2022,8943,645000,4
62835475,26,101,primary,3/3/2022,7/1/2022,11945,700000,3
62862962,26,101,secondary,3/10/2022,3/23/2022,17690,720000,2
62859834,26,101,secondary,3/9/2022,4/8/2022,10449,575000,3
61465760,26,101,secondary,2/3/2021,2/24/2021,12009,529000,3
61483020,1004,101,secondary,2/8/2021,2/10/2021,5371,250000,2
61590183,26,101,primary,3/6/2021,3/7/2021,9894,650926,3
61504670,26,101,secondary,2/12/2021,3/14/2021,11339,669000,3
61523651,26,101,secondary,2/17/2021,3/19/2021,12292,590000,3
61494315,26,101,primary,2/10/2021,7/8/2021,16357,548600,1
61480861,1004,101,secondary,2/6/2021,3/8/2021,6208,280000,2
61507950,26,101,primary,2/13/2021,3/15/2021,10100,404000,2
61548772,26,101,primary,2/24/2021,3/26/2021,11638,1350000,4
61552959,26,101,secondary,2/25/2021,3/27/2021,7808,285000,1
61555671,26,101,primary,2/25/2021,3/25/2021,9581,881535,4
61491190,26,101,primary,2/9/2021,3/11/2021,9075,404999,3
61470336,26,101,secondary,2/4/2021,3/6/2021,13934,510000,2
61455769,26,101,secondary,2/1/2021,3/26/2021,17843,910000,2
61494364,26,101,secondary,2/10/2021,3/12/2021,14881,1250000,3
61545996,26,101,secondary,2/23/2021,3/5/2021,9561,545000,3
61574790,26,101,secondary,3/3/2021,3/12/2021,16681,769000,2
61507281,26,101,secondary,2/13/2021,3/15/2021,13049,535000,2
61501653,26,101,secondary,2/12/2021,3/20/2021,12618,482000,1
61542107,26,101,primary,2/22/2021,3/3/2021,11459,513592,2
61485998,26,101,secondary,2/8/2021,3/4/2021,11048,696000,3
61522138,26,101,secondary,2/17/2021,3/2/2021,12255,1188000,3
62797625,26,101,secondary,2/21/2022,3/23/2022,11865,439000,2
62835562,26,101,secondary,3/3/2022,3/21/2022,27419,2550000,4
62744372,26,101,primary,2/7/2022,3/28/2022,10417,661500,4
62735786,26,101,primary,2/4/2022,7/4/2022,18000,2329560,4
62863382,26,101,primary,3/10/2022,6/8/2022,15755,700000,2
62778497,26,101,primary,2/16/2022,3/18/2022,8720,559036,3
61666820,26,101,primary,3/25/2021,6/29/2022,8900,556784,3
62848789,26,101,secondary,3/7/2022,4/6/2022,12554,929000,4
62899894,26,101,primary,3/21/2022,4/20/2022,12687,748146,3
62728124,26,101,secondary,2/2/2022,4/3/2022,13700,620884,2
61604963,1004,101,primary,3/10/2021,6/29/2022,8200,385236,2
62810541,1004,101,secondary,2/23/2022,5/16/2022,8617,464000,3
62882893,26,101,secondary,3/16/2022,4/15/2022,14203,1024000,3
62729132,26,101,secondary,2/2/2022,6/30/2022,13000,533000,1
62750954,26,101,primary,2/9/2022,3/11/2022,18104,2788000,5
62723858,26,101,secondary,2/1/2022,5/9/2022,11655,979000,3
62877554,26,101,secondary,3/15/2022,6/13/2022,9615,1750000,6
62867914,26,101,primary,3/11/2022,4/10/2022,14770,455639,1
62835513,26,101,primary,3/3/2022,7/1/2022,10726,700000,3
62879626,26,101,primary,3/15/2022,6/13/2022,10990,582496,3
62898302,26,101,primary,3/21/2022,4/29/2022,10002,606100,3
62820455,1004,101,secondary,2/27/2022,3/29/2022,6218,485000,4
62898027,26,101,secondary,3/20/2022,5/27/2022,13095,1650000,4
62884282,26,101,primary,3/16/2022,6/14/2022,10155,700000,4
62803379,1004,101,primary,2/22/2022,4/23/2022,8785,400000,2
62924237,26,101,secondary,3/28/2022,3/28/2022,15352,1090000,3
62813600,26,101,primary,2/24/2022,6/24/2022,20095,582750,1
62752402,26,101,secondary,2/9/2022,3/12/2022,10542,875000,4
62934162,1004,101,secondary,3/30/2022,6/28/2022,6526,256000,2
62727592,26,101,primary,2/2/2022,2/28/2022,9800,524496,3
62791252,26,101,secondary,2/18/2022,3/9/2022,11905,500000,2
62762428,26,101,secondary,2/11/2022,7/6/2022,17790,1206000,3
62898303,26,101,primary,3/21/2022,5/19/2022,9695,610785,3
62803384,1004,101,primary,2/22/2022,6/22/2022,8527,400000,2
62885040,26,101,secondary,3/16/2022,4/16/2022,10697,660000,3
62849494,26,101,secondary,3/7/2022,4/6/2022,22077,2190000,3
62772435,26,101,secondary,2/15/2022,3/8/2022,9418,550000,2
62905696,26,101,primary,3/22/2022,6/20/2022,27855,600000,1
62735272,26,101,primary,2/4/2022,3/6/2022,12900,679314,3
62905863,1004,101,primary,3/22/2022,4/1/2022,7716,392502,3
62924956,26,101,secondary,3/28/2022,4/10/2022,8000,568000,3
62815104,26,101,secondary,2/25/2022,3/27/2022,8951,725000,4
62766247,1004,101,primary,2/13/2022,3/15/2022,9200,273056,2
62914554,26,101,secondary,3/24/2022,4/4/2022,12071,880000,4
