date_day;ad_id;city_id;category_id;amount_spend_to_promote_ads
2021-03-02;61567585;26;101;55.49
2021-02-08;61408101;26;101;11.09
2022-03-08;62853396;26;101;22.19
2022-03-04;62691536;26;101;56.60
2021-03-21;61649630;26;102;22.19
2021-02-07;61238506;26;101;61.03
2021-02-23;61449801;26;101;61.03
2021-03-16;61579967;26;101;11.09
2022-03-16;62844495;26;101;22.19
2022-02-08;62743470;26;101;75.46
2022-02-05;62739064;26;102;22.19
2021-02-04;61467167;26;101;22.19
2021-03-09;61369324;26;101;11.09
2022-02-09;62751110;26;101;22.19
2022-03-24;62886166;26;101;18.86
2022-03-07;62845688;26;201;19.97
2021-02-18;60853547;26;101;11.09
2021-03-01;61411268;26;101;11.09
2021-03-11;61563230;26;101;11.09
2021-03-05;59478202;26;102;55.49
2022-02-26;62819723;26;102;22.19
2022-03-17;62828228;26;101;22.19
2021-03-17;61548937;26;101;38.84
2021-03-25;61130872;26;101;55.49
2021-02-18;61491178;26;101;11.09
2021-03-17;61571090;26;202;49.93
2021-03-21;61018600;26;102;11.09
2022-03-16;62882452;1004;101;22.19
2021-02-13;61451185;1004;101;38.84
2021-02-27;61561997;1004;102;22.19
2021-02-25;61235401;1004;101;55.49
2021-02-05;61318095;1004;101;11.09
2022-03-02;62832416;1004;102;19.97
2021-02-12;61504838;1004;101;22.19
2022-03-09;62858646;1004;101;22.19
2021-02-26;61542139;1004;101;11.09
2022-02-18;62787317;1004;102;22.19
2021-03-17;61576146;1004;101;11.09
2022-03-26;62920903;1004;102;19.97
2021-03-10;61401187;1004;102;11.09
2021-03-11;61587246;1004;101;33.28
2022-03-21;62901808;1004;101;22.19
2021-02-11;61499590;1004;101;22.19
2022-03-06;62600438;26;102;19.97
2021-02-24;61315925;26;101;11.09
2022-02-24;62697076;26;101;56.60
2021-03-16;61615949;26;102;11.09
2022-03-18;62881155;26;101;22.19
2021-02-17;61090781;26;101;66.59
2022-02-08;62747137;26;101;18.86
2021-03-19;61132177;26;101;11.09
2021-02-14;61508663;26;101;61.03
2021-03-16;61567008;26;101;11.09
2022-02-19;62696447;26;101;18.86
2021-03-02;61513368;26;101;61.03
2021-02-02;61333005;26;101;88.77
2021-02-12;61238927;26;101;11.09
2021-02-07;61285493;26;101;61.03
2022-02-16;62048470;26;101;22.19
2021-02-10;61304475;26;101;11.09
2021-03-10;61419680;26;102;22.19
2021-02-18;61202118;26;102;55.49
2022-02-25;62389859;26;101;22.19
2021-02-15;61410317;26;102;22.19
2021-02-03;61446336;26;101;27.74
2021-03-01;61531506;26;101;11.09
2022-03-24;62506526;26;101;59.93
2022-03-26;62920409;26;101;22.19
2021-03-14;61620224;26;102;22.19
2021-02-27;61562325;26;102;22.19
2021-03-05;60578631;26;101;33.28
2021-03-24;61549624;26;201;55.49
2022-02-01;62722253;26;101;22.19
2021-03-10;61244201;26;101;66.59
2022-03-18;62769485;26;101;18.86
2022-03-27;62921937;26;102;22.19
2021-03-29;60853547;26;101;11.09
2021-02-26;61086329;26;201;11.09
2021-03-09;61565188;26;102;11.09
2022-02-26;62819326;26;101;22.19
2021-03-07;61563230;26;101;11.09
2022-03-23;62606084;26;101;19.97
2021-03-22;61569559;26;101;11.09
2021-03-27;61674447;26;102;127.62
2021-02-04;61034928;26;102;22.19
2021-03-04;60887889;26;102;22.19
2021-03-30;60887285;26;101;11.09
2021-03-04;61539070;26;101;55.49
2022-02-03;62727690;26;101;22.19
2021-03-23;61649340;26;101;49.93
2021-03-06;61590988;26;101;22.19
2022-03-12;62870619;26;102;22.19
2021-03-16;61627561;26;101;22.19
2021-02-10;61307636;26;101;11.09
2021-03-05;61438645;1004;101;27.74
2022-02-28;62676271;1004;101;18.86
2022-02-18;62788437;1004;101;22.19
2021-02-13;61507085;1004;101;22.19
2021-03-30;61450509;1004;101;11.09
2022-02-28;62821468;1004;101;22.19
2022-03-15;62543335;1004;101;22.19
2021-03-21;61637769;1004;102;11.09
2022-02-21;62796301;1004;101;22.19
2022-03-18;62892696;1004;101;22.19
2021-03-12;61610586;26;102;22.19
2021-03-23;61116122;26;101;11.09
2021-02-23;61515635;26;101;11.09
2022-02-14;62752896;26;101;19.97
2022-03-03;62833415;26;101;18.86
2021-03-24;61643271;26;101;11.09
2021-02-23;61198209;26;101;22.19
2021-03-14;61620228;26;102;22.19
2021-02-03;61429535;26;101;11.09
2022-03-24;62912871;26;101;18.86
2021-02-26;61444871;26;102;38.84
2022-02-01;62721183;26;201;22.19
2021-03-12;61458982;26;101;61.03
2021-02-22;61302963;26;201;11.09
2021-02-26;60934776;26;101;11.09
2021-02-19;61532821;26;102;22.19
2021-03-01;61568347;26;101;22.19
2022-03-29;62928616;26;101;22.19
2021-03-26;61651272;26;101;11.09
2021-03-18;61632331;26;102;11.09
2021-02-09;60673935;26;101;11.09
2021-03-11;61225736;26;102;11.09
